Address,#Bedrooms,#K12Estimates,Est children per bedroom
7240-7484 (even) Old Sauk Rd,298,68,0.228187919
2333 Carling Dr,77,43,0.558441558
1141-1149 (odd) Petra Pl,64,40,0.625
4310-4340 (even) Melody Ln & 2402-2502 (even) Independence Ln,465,36,0.077419355
2330-2358 (even) Allied Dr,64,35,0.546875
1161&1165&1169&1170&1173&1174 Petra Pl,48,30,0.625
1-69 Cherokee Cir (odd),335,27,0.080597015
1802 Monroe St,95,23,0.242105263
301-317 (odd) Nautilus Dr,24,21,0.875
7201&7203 Mid Town Rd,124,21,0.169354839
6602-6652 (even) Offshore Dr & 2-266 (even) Grand Canyon Dr,249,20,0.080321285
2002-2208 (even) Post Rd,56,20,0.357142857
2125-2233 (odd) Luann Ln,96,19,0.197916667
8325&8327 Mid Town Rd,4,18,4.5
4717&4721 Crescent Rd,4,17,4.25
710-730 (even) Mesta Ln,48,16,0.333333333
6115-6137 (odd) Quiet Canyon Loop & 6001-6059 (odd) Canyon Pkwy,86,15,0.174418605
1305-1333 (odd) Tompkins Dr,156,14,0.08974359
4706 Jenewein Rd,12,14,1.166666667
312 East Bluff,440,13,0.029545455
1002-1010 (even) Gammon Ln & 1017-1021 (odd) McKenna Blvd,40,11,0.275
8-22 Springfield Ct & 1-8 Cocoa Beach Dr & 1-26 Boca Grande Way & 1-11 Daytona Beach Dr,106,9,0.08490566
2-46 (even) Craig Ave,47,9,0.191489362
6902-6950 (even) Tottenham Rd & 2009-2017 (odd) Canterbury Rd,34,8,0.235294118
7414-7422 (even) Whitacre Rd & 7417-7433 (odd) Old Sauk Rd,100,8,0.08
6401-6443 (odd) Bridge Rd,149,8,0.053691275
6933-6949 (odd) Chester Dr,84,8,0.095238095
6801-6947 (odd) Raymond Rd,96,7,0.072916667
3201 Ridgeway Ave,10,7,0.7
2532 Frazier Ave,8,7,0.875
1122 Alrita Ct,12,7,0.583333333
2501 Fish Hatchery Rd,12,7,0.583333333
1117 Alrita Ct,12,7,0.583333333
1121 Alrita Ct,12,7,0.583333333
1125 Alrita Ct,12,7,0.583333333
602-612 (even) N Westfield Rd & 7201-7207 (odd) Old Sauk Rd,80,7,0.0875
221 Nautilus Dr,8,7,0.875
217 Nautilus Dr,8,7,0.875
702-738 (even)Saukdale Way & 1-20 (even) Saukdale Trl & 7202-7224 (even) Saukdale Dr,88,7,0.079545455
2-16 (even) Greenside Cir & 9003-9077 (odd) Bentley Green & 9041-9090 (even) Paddington Pkwy & 902-1002 (even) Castle Stone Pass & 901&902&904 Old York Pl,213,7,0.03286385
6802-6934 (even) Old Sauk Ct & 6901-6947 (odd) Old Sauk Rd,105,6,0.057142857
3710&3712&3714 Packers Ave,21,6,0.285714286
6901-6923 Tottenham Rd & 2101-2115 (odd) Canterbury Rd,48,6,0.125
1118 Petra Pl,10,6,0.6
3205 Ridgeway Ave,8,6,0.75
3209 Ridgeway Ave,8,6,0.75
12-50 (even) & 51-65 Waunona Woods Ct,102,6,0.058823529
7807-7889 (odd) Tree Ln & 7817-7878 E Oakbridge Way & 202-232 S High Point Rd,127,6,0.047244094
1209 E Gorham St,4,5,1.25
4509-4557 (odd) Martha Ln,48,5,0.104166667
321-409 (odd) Palomino Ln & 3217 Stevens St,33,5,0.151515152
3106&3110 Old Gate Rd,16,5,0.3125
1401&1403 Theresa Ter,8,5,0.625
6206&6208 Jacobs Way Unit CDM,8,5,0.625
4322 Lumley Rd,10,5,0.5
2521 Fish Hatchery Rd,8,4,0.5
1122 Petra Pl,8,4,0.5
902-944 (even) Acewood Blvd,44,4,0.090909091
6502-6532 (even) & 6598 Offshore Dr & 130-136 (even) S Yellowstone Dr,60,4,0.066666667
3213 Ridgeway Ave,6,4,0.666666667
5837 Raymond Rd,12,4,0.333333333
5821 Raymond Rd,12,4,0.333333333
5829 Raymond Rd,12,4,0.333333333
5833 Raymond Rd,12,4,0.333333333
5825 Raymond Rd,12,4,0.333333333
5817 Raymond Rd,12,4,0.333333333
3102 Old Gate Rd,14,4,0.285714286
1049&1057 McKenna Blvd,16,4,0.25
1101&1103&1105 McKenna Blvd Unit H,16,4,0.25
1109 McKenna Blvd,16,4,0.25